"value","type_id","model_name","target_end_date","scenario_id","horizon","location","age_group"
7.661352958,0.01,1,2023-11-18,1,1,"41","0-0.99"
9.1951650613,0.025,1,2023-11-18,1,1,"41","0-0.99"
11.7644649481,0.05,1,2023-11-18,1,1,"41","0-0.99"
15.6853894549,0.1,1,2023-11-18,1,1,"41","0-0.99"
27.4346236431,0.25,1,2023-11-18,1,1,"41","0-0.99"
43.0563244719,0.5,1,2023-11-18,1,1,"41","0-0.99"
69.5146212978,0.75,1,2023-11-18,1,1,"41","0-0.99"
94.719057281,0.9,1,2023-11-18,1,1,"41","0-0.99"
106.1945516573,0.95,1,2023-11-18,1,1,"41","0-0.99"
111.9980206958,0.975,1,2023-11-18,1,1,"41","0-0.99"
121.2301101344,0.99,1,2023-11-18,1,1,"41","0-0.99"
16.0654908392,0.01,1,2023-11-18,1,1,"41","0-130"
24.3760207369,0.025,1,2023-11-18,1,1,"41","0-130"
32.2447693362,0.05,1,2023-11-18,1,1,"41","0-130"
45.7334616987,0.1,1,2023-11-18,1,1,"41","0-130"
73.1055985698,0.25,1,2023-11-18,1,1,"41","0-130"
111.2977650814,0.5,1,2023-11-18,1,1,"41","0-130"
185.6025120244,0.75,1,2023-11-18,1,1,"41","0-130"
245.6740673144,0.9,1,2023-11-18,1,1,"41","0-130"
275.5845605478,0.95,1,2023-11-18,1,1,"41","0-130"
290.3694483642,0.975,1,2023-11-18,1,1,"41","0-130"
307.9257131296,0.99,1,2023-11-18,1,1,"41","0-130"
2.5893917818,0.01,1,2023-11-18,1,1,"41","1-4"
3.5007483956,0.025,1,2023-11-18,1,1,"41","1-4"
4.4272948401,0.05,1,2023-11-18,1,1,"41","1-4"
6.2012137263,0.1,1,2023-11-18,1,1,"41","1-4"
11.9263716055,0.25,1,2023-11-18,1,1,"41","1-4"
20.9469740435,0.5,1,2023-11-18,1,1,"41","1-4"
32.427983018,0.75,1,2023-11-18,1,1,"41","1-4"
45.1701411231,0.9,1,2023-11-18,1,1,"41","1-4"
48.3636897607,0.95,1,2023-11-18,1,1,"41","1-4"
52.5030883469,0.975,1,2023-11-18,1,1,"41","1-4"
54.7347035118,0.99,1,2023-11-18,1,1,"41","1-4"
3.2660517872,0.01,1,2023-11-18,1,1,"41","5-64"
4.8941223097,0.025,1,2023-11-18,1,1,"41","5-64"
6.2969558779,0.05,1,2023-11-18,1,1,"41","5-64"
7.9887927942,0.1,1,2023-11-18,1,1,"41","5-64"
